isDGA,domain,host,subclass
dga,qonwsurecqma,qonwsurecqma.ru,cryptolocker
dga,uzrwiswxkgpfyxn52i1ukrkhm,uzrwiswxkgpfyxn52i1ukrkhm.com,newgoz
dga,abc158d56eeef544ef21daaaa9feb144,abc158d56eeef544ef21daaaa9feb144.org,bamital
dga,tsyodcpvonpmidc,tsyodcpvonpmidc.ru,cryptolocker
dga,pjwsvgmsrvnn,pjwsvgmsrvnn.ru,cryptolocker
dga,dpfnigcqittyhqr,dpfnigcqittyhqr.ru,necurs
dga,1opqxm11xku6tv13xtrtt18exygt,1opqxm11xku6tv13xtrtt18exygt.com,newgoz
dga,withbqguksdq,withbqguksdq.ru,cryptolocker
dga,hdifledvueisc,hdifledvueisc.kz,necurs
dga,hdqesqdiuvvfrpa,hdqesqdiuvvfrpa.ru,cryptolocker
dga,foxhndkbdseb,foxhndkbdseb.org,cryptolocker
dga,oudjtyov,oudjtyov.cx,necurs
dga,nymjfcnicxyu,nymjfcnicxyu.com,cryptolocker
dga,itohetciikjqpcmjfhqjrxcijr,itohetciikjqpcmjfhqjrxcijr.ru,goz
dga,eqsfcoknmbuthvxquvu,eqsfcoknmbuthvxquvu.ir,necurs
dga,plbxgbmduasxg,plbxgbmduasxg.ru,cryptolocker
dga,wunhyfltomimg,wunhyfltomimg.ga,necurs
dga,evvcewytorhlc,evvcewytorhlc.ru,cryptolocker
dga,ajjpeymqkxssjoc,ajjpeymqkxssjoc.ru,cryptolocker
dga,15luj5sxy9z5j3elh5uftba90,15luj5sxy9z5j3elh5uftba90.biz,newgoz
dga,kexngyjudoptjv,kexngyjudoptjv.ru,cryptolocker
dga,mnlyklnpmoaoe,mnlyklnpmoaoe.ru,cryptolocker
dga,13kwgxh1k5wdpi1pm7zv715p3nau,13kwgxh1k5wdpi1pm7zv715p3nau.org,newgoz
dga,djjyqgbcusqutc,djjyqgbcusqutc.ru,cryptolocker
dga,ixdeythowshsj,ixdeythowshsj.biz,cryptolocker
dga,cihutkvkgmdyntgrkkvkfup,cihutkvkgmdyntgrkkvkfup.ru,goz
dga,dreamcolor,dreamcolor.net,nivdort
dga,triedeasy,triedeasy.net,nivdort
dga,jxvqpcvphikofrbalw,jxvqpcvphikofrbalw.ms,necurs
dga,yqfxjerlehoe,yqfxjerlehoe.ru,cryptolocker
dga,lookgreen,lookgreen.net,nivdort
dga,10eilodq5r9wu1h2mnid186luf8,10eilodq5r9wu1h2mnid186luf8.net,gameoverdga
dga,axjmhkjadjr,axjmhkjadjr.ki,necurs
dga,cyctfueygubiypxwmjnibcq,cyctfueygubiypxwmjnibcq.ru,goz
dga,bsyhkkhgtewqw,bsyhkkhgtewqw.ru,cryptolocker
dga,sundaynovember,sundaynovember.net,nivdort
dga,vaewhakifdpc,vaewhakifdpc.ga,necurs
dga,nrmvcxbfqvfojlo,nrmvcxbfqvfojlo.ru,cryptolocker
dga,musicelse,musicelse.net,nivdort
dga,1gy1xqkuhqzj8p19y312s8mhx,1gy1xqkuhqzj8p19y312s8mhx.com,newgoz
dga,rockguess,rockguess.net,nivdort
dga,xafdoovwrwutc,xafdoovwrwutc.ru,cryptolocker
dga,nfvehpbgujpxb,nfvehpbgujpxb.ru,cryptolocker
dga,visithigh,visithigh.net,nivdort
dga,dpoyyjvgwqpvo,dpoyyjvgwqpvo.ru,cryptolocker
dga,hwfpiibgkinptuy,hwfpiibgkinptuy.jp,necurs
dga,qnjsbymejpkku,qnjsbymejpkku.ru,cryptolocker
dga,phpghxskgettphihxkkvci,phpghxskgettphihxkkvci.ru,goz
dga,rutgiarrwalcm,rutgiarrwalcm.ru,cryptolocker
dga,kbqwdecxxsut,kbqwdecxxsut.ru,cryptolocker
dga,ftxjprwxslrkl,ftxjprwxslrkl.ru,cryptolocker
dga,llcuslxdls9jv2hxzi160gin3,llcuslxdls9jv2hxzi160gin3.com,gameoverdga
dga,petwimamfpvsmfaaa,petwimamfpvsmfaaa.sh,necurs
dga,geemcypvbzpcmdyrgpqozxhy,geemcypvbzpcmdyrgpqozxhy.ru,goz
dga,fadcprmegbqil,fadcprmegbqil.ru,cryptolocker
dga,qkmjnvkzjvtjzgitskxkjnfeb,qkmjnvkzjvtjzgitskxkjnfeb.ru,goz
dga,sightgift,sightgift.net,nivdort
dga,ykfnyenpkpmusc,ykfnyenpkpmusc.ru,cryptolocker
dga,mehhtxrdmflij,mehhtxrdmflij.ru,cryptolocker
dga,5jyah6n6971zsmak31d2jt4m,5jyah6n6971zsmak31d2jt4m.org,newgoz
dga,womfgizpmbtajvfefausdvwlhqhq,womfgizpmbtajvfefausdvwlhqhq.ru,goz
dga,uqdruplruuohb,uqdruplruuohb.ru,cryptolocker
dga,74tn5tz7dbqb1xonwhxxi1hs0,74tn5tz7dbqb1xonwhxxi1hs0.biz,gameoverdga
dga,dcuuiglvv,dcuuiglvv.pro,necurs
dga,ev3z6ay8illj114ebd11oedm7r,ev3z6ay8illj114ebd11oedm7r.biz,newgoz
dga,fnhohxlhkybnagbijcto,fnhohxlhkybnagbijcto.nf,necurs
dga,qxds8u1pex7841ifsza7xoceef,qxds8u1pex7841ifsza7xoceef.net,gameoverdga
dga,gxpcyhgmengai,gxpcyhgmengai.ru,cryptolocker
dga,bceidnalgels,bceidnalgels.ru,cryptolocker
dga,mutzba1k13vr0mw9073owlem2,mutzba1k13vr0mw9073owlem2.com,gameoverdga
dga,i5ep531lfuanc1ytynl1mmkio4,i5ep531lfuanc1ytynl1mmkio4.com,newgoz
dga,ujovjxtlvshmc,ujovjxtlvshmc.ru,cryptolocker
dga,71af3f42ab8f85a67ee1b2cfaeafd912,71af3f42ab8f85a67ee1b2cfaeafd912.org,bamital
dga,mooevweurgwsfto,mooevweurgwsfto.net,cryptolocker
dga,wmnlmnmyorspuwg,wmnlmnmyorspuwg.ru,cryptolocker
dga,1goalbzgjn37dmxctnfvib5w2,1goalbzgjn37dmxctnfvib5w2.net,gameoverdga
dga,xsfauihmebeif,xsfauihmebeif.com,cryptolocker
dga,okshiegjianzi6fo1rsmwnkq,okshiegjianzi6fo1rsmwnkq.biz,newgoz
dga,aqbudetjhwsrkhculsovkha,aqbudetjhwsrkhculsovkha.ru,goz
dga,gqrfyleealpoiff,gqrfyleealpoiff.eu,necurs
dga,uqetaqihylyri,uqetaqihylyri.ru,cryptolocker
dga,p35dbg3ne4u27gqnxk1ach2yj,p35dbg3ne4u27gqnxk1ach2yj.net,gameoverdga
dga,dpxrwvumbqdn,dpxrwvumbqdn.ru,cryptolocker
dga,klnrvjjglpvgo,klnrvjjglpvgo.ru,cryptolocker
dga,u9iswiifp54bd1vpp0lnexx9,u9iswiifp54bd1vpp0lnexx9.net,newgoz
dga,jgfvhlgrausleh,jgfvhlgrausleh.org,cryptolocker
dga,1ljl1efyn49mwz3ccyv1o1dibz,1ljl1efyn49mwz3ccyv1o1dibz.org,newgoz
dga,5jvc23ry2zp31yesh86tzico1,5jvc23ry2zp31yesh86tzico1.biz,newgoz
dga,hhmrciktwpeoew,hhmrciktwpeoew.ru,cryptolocker
dga,1dlamnb1jbo10r4yeud6ylrmuv,1dlamnb1jbo10r4yeud6ylrmuv.org,gameoverdga
dga,5mvpg51kwg7q31enbhv215n33z4,5mvpg51kwg7q31enbhv215n33z4.biz,gameoverdga
dga,tlgngurtirqx,tlgngurtirqx.ru,cryptolocker
dga,nolybyhligaardwwqbmp,nolybyhligaardwwqbmp.la,necurs
dga,btutgkppsairq,btutgkppsairq.co.uk,cryptolocker
dga,doumcvadlqdb,doumcvadlqdb.net,cryptolocker
dga,dgehiucmzvkdyaehdcwcdsw,dgehiucmzvkdyaehdcwcdsw.ru,goz
dga,gaddwiyspjiiyq,gaddwiyspjiiyq.ru,cryptolocker
dga,cs1i883dzg9j6yfy6t1mdzsj1,cs1i883dzg9j6yfy6t1mdzsj1.com,newgoz
dga,uponiron,uponiron.net,nivdort
dga,guwhydrulpgrbe,guwhydrulpgrbe.ru,cryptolocker
dga,129gtepj34erhuqy8cr1qdk554,129gtepj34erhuqy8cr1qdk554.net,gameoverdga
dga,fcxeubngdxkg,fcxeubngdxkg.ru,cryptolocker
dga,riohsdowhyhp,riohsdowhyhp.ru,cryptolocker
dga,lkrhrwjawgcwnqt,lkrhrwjawgcwnqt.ru,cryptolocker
dga,lgfgyqhwkttxol,lgfgyqhwkttxol.ru,cryptolocker
dga,opmsxbliqxask,opmsxbliqxask.ru,cryptolocker
dga,epjubhrxjqschfwjrrr,epjubhrxjqschfwjrrr.cx,necurs
dga,abwvsuxaksophu,abwvsuxaksophu.ru,cryptolocker
dga,souoxguglfijgmyjngiuoijtcxbeeq,souoxguglfijgmyjngiuoijtcxbeeq.ru,goz
dga,edidlkdgonqxh,edidlkdgonqxh.ru,cryptolocker
dga,wdtmgrmgnjlokf,wdtmgrmgnjlokf.tw,necurs
dga,eifnkusc,eifnkusc.tv,necurs
dga,1l21w8u1we86um1kprq56vfo41o,1l21w8u1we86um1kprq56vfo41o.org,gameoverdga
dga,udokeveglhffdtt,udokeveglhffdtt.ru,cryptolocker
dga,wwdogvftityyjcu,wwdogvftityyjcu.ru,cryptolocker
dga,bniwmlhwxngu,bniwmlhwxngu.ru,cryptolocker
dga,suitnurntwwu,suitnurntwwu.ru,cryptolocker
dga,ljghuky,ljghuky.mn,necurs
dga,mpwesvpdtteknb,mpwesvpdtteknb.ru,cryptolocker
dga,unfywjeormrbmox,unfywjeormrbmox.ru,cryptolocker
dga,2t8gzn1dvsvtsxsy6b1l3r6xg,2t8gzn1dvsvtsxsy6b1l3r6xg.biz,gameoverdga
dga,fkwvlf1bsjxpa1neyscu15z8i8f,fkwvlf1bsjxpa1neyscu15z8i8f.net,newgoz
dga,dasmafkgimtipot,dasmafkgimtipot.ru,cryptolocker
dga,owhk9e1xiftb611a933s1fsnb8t,owhk9e1xiftb611a933s1fsnb8t.net,newgoz
dga,bbypsmbuvpyckr,bbypsmbuvpyckr.ru,cryptolocker
dga,ubifnwlprjpa,ubifnwlprjpa.ru,cryptolocker
dga,ekslaiocgvnwl,ekslaiocgvnwl.ru,cryptolocker
dga,wgilljojytpvnftspixxzleil,wgilljojytpvnftspixxzleil.ru,goz
dga,jy4m6w1cd4enxlby5g7asnkuf,jy4m6w1cd4enxlby5g7asnkuf.biz,gameoverdga
dga,almdne1h85wth1to2gmaa397mg,almdne1h85wth1to2gmaa397mg.org,newgoz
dga,eqfmnsxmujog,eqfmnsxmujog.ru,cryptolocker
dga,drotwoylf,drotwoylf.mn,necurs
dga,sbpyqqfnlqeieci,sbpyqqfnlqeieci.ru,cryptolocker
dga,cfrxowcdymuf,cfrxowcdymuf.net,cryptolocker
dga,qxdpveaudlmi,qxdpveaudlmi.com,cryptolocker
dga,uyjpqrlvpojsi,uyjpqrlvpojsi.ru,cryptolocker
dga,i3wukceooawp1mlutz11e7qbm0,i3wukceooawp1mlutz11e7qbm0.biz,newgoz
dga,tsxcerjrnivf5uihegn6jzw,tsxcerjrnivf5uihegn6jzw.net,gameoverdga
dga,kggnouootkqsroa,kggnouootkqsroa.ru,cryptolocker
dga,yfyutv1vg72hc31u70x1kmk21e,yfyutv1vg72hc31u70x1kmk21e.biz,newgoz
dga,gr9qlfy8m85z1m2n55112ctcma,gr9qlfy8m85z1m2n55112ctcma.net,newgoz
dga,bnehwctfgeoaha,bnehwctfgeoaha.ru,cryptolocker
dga,1vxhrnj13j9jd0ak1psb6xcs11,1vxhrnj13j9jd0ak1psb6xcs11.net,gameoverdga
dga,ethruwdexnls,ethruwdexnls.ru,cryptolocker
dga,rlok6w17di79z1qdy83e71c0ra,rlok6w17di79z1qdy83e71c0ra.biz,newgoz
dga,yo7o3t9fw2401al585i2ptdrr,yo7o3t9fw2401al585i2ptdrr.net,gameoverdga
dga,iaiggepwklst,iaiggepwklst.ru,cryptolocker
dga,yohytofuhkfg,yohytofuhkfg.ru,cryptolocker
dga,popdnsfcqoau,popdnsfcqoau.ru,cryptolocker
dga,kbmvepysviqemj,kbmvepysviqemj.ru,cryptolocker
dga,hkp1381f7wqog1j9azrm15yi2o0,hkp1381f7wqog1j9azrm15yi2o0.net,newgoz
dga,12bkuoslurwdylhhk9f1may94z,12bkuoslurwdylhhk9f1may94z.net,gameoverdga
dga,spendserve,spendserve.net,nivdort
dga,a2g5q9saguym1dpr5dlmkv3xb,a2g5q9saguym1dpr5dlmkv3xb.com,newgoz
dga,knaucmytvwhakth,knaucmytvwhakth.co.uk,cryptolocker
dga,obtvwvsmvucj,obtvwvsmvucj.ru,cryptolocker
dga,pnlrgcqpnxsdtwogvkbajrtc,pnlrgcqpnxsdtwogvkbajrtc.ru,goz
dga,1chob2liqu89d1sur5mdmqy6e5,1chob2liqu89d1sur5mdmqy6e5.net,gameoverdga
dga,4y2nre346cnz1ajnq4g1o6ejsn,4y2nre346cnz1ajnq4g1o6ejsn.net,newgoz
dga,cloudcross,cloudcross.net,nivdort
dga,13lvzq01lcrl841d3ibj2z9lng,13lvzq01lcrl841d3ibj2z9lng.net,gameoverdga
dga,1407eqyidi4xfnkhymdcz37kw,1407eqyidi4xfnkhymdcz37kw.org,gameoverdga
dga,f8wcpo154522zjl7xkv1ucwyca,f8wcpo154522zjl7xkv1ucwyca.com,gameoverdga
dga,rrigvggvgfrfpu,rrigvggvgfrfpu.ru,cryptolocker
dga,hunqkybrpuhcru,hunqkybrpuhcru.com,cryptolocker
dga,sfmnvoddeprlr,sfmnvoddeprlr.ru,cryptolocker
dga,mzkvgyorugeplrdqiftscucaq,mzkvgyorugeplrdqiftscucaq.ru,goz
dga,mnr1ol1jlc2qe1iksfm016s2w6l,mnr1ol1jlc2qe1iksfm016s2w6l.net,newgoz
dga,ceoggegeqtib,ceoggegeqtib.com,cryptolocker
dga,uponlate,uponlate.net,nivdort
dga,kbssqduobqrxlnsfipcm,kbssqduobqrxlnsfipcm.biz,necurs
dga,nfwijlhfuugp,nfwijlhfuugp.biz,cryptolocker
dga,t74dthmqwqme183wx1y3qy8nr,t74dthmqwqme183wx1y3qy8nr.org,newgoz
dga,bitcgxeqhuyd,bitcgxeqhuyd.ru,cryptolocker
dga,tatskkkyelut,tatskkkyelut.ru,cryptolocker
dga,vlcetdyqsvxpxis,vlcetdyqsvxpxis.ru,cryptolocker
dga,braqcw1ybrqxm10bwet7jqfzgn,braqcw1ybrqxm10bwet7jqfzgn.biz,gameoverdga
dga,korqb7dmmffz2hz7eddaktc5,korqb7dmmffz2hz7eddaktc5.org,newgoz
dga,ba671d1be631a3dcf761bed552cfef3b,ba671d1be631a3dcf761bed552cfef3b.org,bamital
dga,vlgwbroqcmyrvbd,vlgwbroqcmyrvbd.ru,cryptolocker
dga,spokeseven,spokeseven.net,nivdort
dga,bqmeifvaxcclfpv,bqmeifvaxcclfpv.mn,necurs
dga,10pyqnbm0bykj1d9qhmh1mri4nt,10pyqnbm0bykj1d9qhmh1mri4nt.net,gameoverdga
dga,1kz1d4wge89fh1lblb9j12tkbov,1kz1d4wge89fh1lblb9j12tkbov.com,gameoverdga
dga,tahvrsqkybvmrnym,tahvrsqkybvmrnym.to,necurs
dga,joinhope,joinhope.net,nivdort
dga,lvjstjnesjaj,lvjstjnesjaj.cx,necurs
dga,ehfgkyteyenjaun,ehfgkyteyenjaun.mn,necurs
dga,pickeasy,pickeasy.net,nivdort
dga,watchcolor,watchcolor.net,nivdort
dga,djlphjmxiemem,djlphjmxiemem.ru,cryptolocker
dga,yardtuesday,yardtuesday.net,nivdort
dga,cfjayocetfdqj,cfjayocetfdqj.ru,cryptolocker
dga,eotdtjradaeqndt,eotdtjradaeqndt.ru,cryptolocker
dga,ijjvbaozthkvxcmrpzswlvcwbi,ijjvbaozthkvxcmrpzswlvcwbi.ru,goz
dga,nwabjvuluxdkvtiihs,nwabjvuluxdkvtiihs.net,necurs
dga,wrongmoon,wrongmoon.net,nivdort
dga,dreameasy,dreameasy.net,nivdort
dga,mcbksstivjvn,mcbksstivjvn.ru,cryptolocker
dga,jgiudlpkpsjis,jgiudlpkpsjis.ru,cryptolocker
dga,lhynqmlvnidph,lhynqmlvnidph.ru,cryptolocker
dga,rjmnaapvjwjmk,rjmnaapvjwjmk.ru,cryptolocker
dga,u55k4c1pvazr6ztcl2kc5a3,u55k4c1pvazr6ztcl2kc5a3.com,newgoz
dga,kcqulthgydahal,kcqulthgydahal.ru,cryptolocker
dga,uksffnnhuqwqrs,uksffnnhuqwqrs.biz,cryptolocker
dga,xobabanfojtshtsorusfueadzpt,xobabanfojtshtsorusfueadzpt.ru,goz
dga,vtrlvmjefwvk,vtrlvmjefwvk.com,cryptolocker
dga,rwwgusaiuskwgcmdyovyhhuxypxg,rwwgusaiuskwgcmdyovyhhuxypxg.ru,goz
dga,wtiwvaumnujcvp,wtiwvaumnujcvp.info,cryptolocker
dga,uyy729lzzchgzwa94tdl0do8,uyy729lzzchgzwa94tdl0do8.com,gameoverdga
dga,1p6u6ravxkhj49hknzt16oev7a,1p6u6ravxkhj49hknzt16oev7a.net,newgoz
dga,xqpwsgyxvkxcifjbdiuglf,xqpwsgyxvkxcifjbdiuglf.ru,goz
dga,ardseqpl3k9g8rybcc7wkvpl,ardseqpl3k9g8rybcc7wkvpl.biz,gameoverdga
dga,ljzxhpnjaixwxsmreucaydmdq,ljzxhpnjaixwxsmreucaydmdq.ru,goz
dga,oxwssnltsews,oxwssnltsews.ru,cryptolocker
dga,fefbtnrduyun,fefbtnrduyun.com,cryptolocker
dga,puscrfdgtpdgxb,puscrfdgtpdgxb.com,cryptolocker
dga,nsxnxpwcoweea,nsxnxpwcoweea.ru,cryptolocker
dga,ddxgptoknppflnvpzdzhh,ddxgptoknppflnvpzdzhh.ru,goz
dga,wsimxkexvpnyyj,wsimxkexvpnyyj.ru,cryptolocker
dga,mojssutqr,mojssutqr.ug,necurs
dga,bypoaujftbbpqv,bypoaujftbbpqv.ru,cryptolocker
dga,18i4ido1xwozbu197aa5d1byk2yh,18i4ido1xwozbu197aa5d1byk2yh.net,gameoverdga
dga,bfswahsfckpplv,bfswahsfckpplv.ru,cryptolocker
dga,jbqvecssinyqg,jbqvecssinyqg.ru,cryptolocker
dga,xxyyfuqjdryb,xxyyfuqjdryb.net,necurs
dga,udaaryqcixgrnr,udaaryqcixgrnr.net,cryptolocker
dga,ilrcwgixxdjm,ilrcwgixxdjm.info,cryptolocker
dga,cbmmbttxbiiwm,cbmmbttxbiiwm.ru,cryptolocker
dga,hwqpvuhcyxsaxh,hwqpvuhcyxsaxh.ru,cryptolocker
dga,kslcmwaftqitowg,kslcmwaftqitowg.ru,cryptolocker
dga,rypjrwgwgamdmytrshehwkpscmf,rypjrwgwgamdmytrshehwkpscmf.ru,goz
dga,khnnmywalt,khnnmywalt.ga,necurs
dga,fgauqkoiaipwblb,fgauqkoiaipwblb.net,cryptolocker
dga,agbdoxkvdptxvfhh,agbdoxkvdptxvfhh.xxx,necurs
dga,ljwdagnite,ljwdagnite.com,necurs
dga,smkqojscfvsvn,smkqojscfvsvn.ru,cryptolocker
dga,14v0ick14azted1nbjpl91fy95it,14v0ick14azted1nbjpl91fy95it.net,newgoz
dga,a4i9x78az72h1cdsyvk1pah6d4,a4i9x78az72h1cdsyvk1pah6d4.biz,gameoverdga
dga,utq4p01jn6yc7bx5vv1ic38w7,utq4p01jn6yc7bx5vv1ic38w7.com,newgoz
dga,qosdwxvwwsiu,qosdwxvwwsiu.ru,cryptolocker
dga,oywjwmkuygwh,oywjwmkuygwh.ru,cryptolocker
dga,watchbegan,watchbegan.net,nivdort
dga,noiqkuxekrwjk,noiqkuxekrwjk.info,cryptolocker
dga,ipxujgkiuaaulsmva,ipxujgkiuaaulsmva.us,necurs
dga,hwrngufpinhx,hwrngufpinhx.ru,cryptolocker
dga,1ijmqujqtdgkz1azlv5o1ackbh1,1ijmqujqtdgkz1azlv5o1ackbh1.net,gameoverdga
dga,muhphwqxggpi,muhphwqxggpi.ru,cryptolocker
dga,1iolsid1ikkv4x17b4vwhui5sqs,1iolsid1ikkv4x17b4vwhui5sqs.net,newgoz
dga,pnxpvjpxxjuwlsr,pnxpvjpxxjuwlsr.ru,cryptolocker
dga,raksuonaupnvg,raksuonaupnvg.ru,cryptolocker
dga,dxruthbg,dxruthbg.sx,necurs
dga,puxjytvctyeow,puxjytvctyeow.ru,cryptolocker
dga,wcarqhmohcvokb,wcarqhmohcvokb.ru,cryptolocker
dga,sundayboat,sundayboat.net,nivdort
dga,nfbwausdghhuh,nfbwausdghhuh.ru,cryptolocker
dga,ljqtgakmcvjso,ljqtgakmcvjso.ac,necurs
dga,lssagjfmlinnwh,lssagjfmlinnwh.ru,cryptolocker
dga,spokefruit,spokefruit.net,nivdort
dga,1dkly1b6ydhj21nv5c9l115zflc,1dkly1b6ydhj21nv5c9l115zflc.org,gameoverdga
dga,triedfebruary,triedfebruary.net,nivdort
dga,oidescdmpfar,oidescdmpfar.ru,cryptolocker
dga,vkvgvcozucbmscpffacqtgxgasof,vkvgvcozucbmscpffacqtgxgasof.ru,goz
dga,offerthey,offerthey.net,nivdort
dga,triedlight,triedlight.net,nivdort
dga,lkivuoavo,lkivuoavo.tv,necurs
dga,gnlmlxc,gnlmlxc.in,necurs
dga,adkdneggocysy,adkdneggocysy.co.uk,cryptolocker
dga,1fxvjql1fl4j11vh8k9j1cr7lzx,1fxvjql1fl4j11vh8k9j1cr7lzx.biz,newgoz
dga,watchtuesday,watchtuesday.net,nivdort
dga,dbrcurwgefdycixamvoug,dbrcurwgefdycixamvoug.ru,goz
dga,dpjahfscjqsy,dpjahfscjqsy.org,cryptolocker
dga,xnpuuvijadmsok,xnpuuvijadmsok.ru,cryptolocker
dga,3c87kl117yww07c81ja1s8uf4r,3c87kl117yww07c81ja1s8uf4r.com,newgoz
dga,ouhfigxyxasgleqkr,ouhfigxyxasgleqkr.ms,necurs
